Date,Open,High,Low,Close,Adj Close,Volume
2002-01-01,92.800003,97.250000,81.599998,86.980003,70.416885,81933000
2002-02-01,86.489998,86.500000,77.519997,80.940002,65.615883,70296800
2002-03-01,81.500000,92.250000,80.849998,90.250000,73.163239,60265000
2002-04-01,89.400002,89.449997,75.800003,78.750000,63.840527,77215300
2002-05-01,78.550003,82.099998,74.000000,75.449997,61.260494,71135300
2002-06-01,75.449997,77.019997,69.029999,73.349998,59.555443,72219000
2002-07-01,73.750000,77.000000,65.550003,73.150002,59.393024,205190100
2002-08-01,73.150002,81.970001,67.750000,77.300003,62.871410,102812600
2002-09-01,76.059998,76.099998,64.489998,66.029999,53.705048,99519100
2002-10-01,66.500000,75.349998,58.570000,71.599998,58.235355,134795100
2002-11-01,71.599998,81.000000,71.000000,78.870003,64.252205,78057400
2002-12-01,78.879997,80.900002,67.000000,68.099998,55.478302,72327100
2003-01-01,68.099998,75.750000,66.949997,68.099998,55.574444,77425600
2003-02-01,68.099998,69.750000,63.750000,69.449997,56.770840,69664000
2003-03-01,69.449997,72.099998,61.020000,68.080002,55.650993,109285900
2003-04-01,68.480003,78.900002,68.059998,75.900002,62.043324,90997300
2003-05-01,75.900002,81.669998,73.220001,81.500000,66.724457,85129900
2003-06-01,81.500000,91.980003,81.500000,83.750000,68.566574,110702900
2003-07-01,83.750000,90.349998,82.360001,87.139999,71.341972,82517900
2003-08-01,86.949997,89.099998,82.900002,88.489998,72.659935,57362700
2003-09-01,88.540001,93.739998,83.639999,83.900002,68.891037,94609600
2003-10-01,83.900002,94.889999,83.900002,93.900002,77.102127,86386800
2003-11-01,94.650002,97.389999,91.699997,96.080002,79.120911,55681200
2003-12-01,96.230003,100.779999,95.730003,98.730003,81.303139,63304000
2004-01-01,98.800003,102.750000,96.150002,99.550003,81.978416,80373300
2004-02-01,99.230003,108.000000,98.430000,105.870003,87.399864,61639800
2004-03-01,107.300003,109.290001,98.379997,104.349998,86.145058,86538200
2004-04-01,104.239998,107.500000,96.309998,96.750000,79.871002,67727300
2004-05-01,96.949997,98.500000,90.080002,93.910004,77.717331,89214200
2004-06-01,93.800003,95.150002,87.680000,94.160004,77.924164,89079100
2004-07-01,94.169998,94.349998,85.720001,88.190002,72.983566,78642000
2004-08-01,87.779999,91.570000,83.290001,89.650002,74.403793,71437600
2004-09-01,89.849998,94.959999,88.889999,93.239998,77.383247,67196300
2004-10-01,93.459999,98.449997,90.739998,98.379997,81.649101,72722800
2004-11-01,98.199997,105.589996,97.800003,104.760002,87.180130,67544700
2004-12-01,105.250000,110.879997,103.000000,104.040001,86.580940,76486500
2005-01-01,104.900002,107.970001,101.790001,107.849998,89.751610,74547600
2005-02-01,107.650002,113.930000,107.300003,108.800003,90.761650,56697300
2005-03-01,108.389999,113.169998,107.500000,109.989998,91.754326,76524300
2005-04-01,110.739998,114.250000,103.209999,106.790001,89.084885,101950900
2005-05-01,105.849998,107.290001,94.750000,97.500000,81.529037,117093700
2005-06-01,97.400002,104.959999,96.430000,102.019997,85.308601,94605900
2005-07-01,102.169998,109.980003,102.019997,107.480003,89.874260,63424600
2005-08-01,107.599998,114.870003,106.690002,111.180000,93.183357,59458100
2005-09-01,111.699997,121.699997,111.599998,121.580002,101.899925,75008400
