Date,Open,High,Low,Close,Adj Close,Volume
2014-12-29,113.639999,113.919998,107.349998,109.330002,100.454300,124489500
2015-01-05,108.290001,113.250000,104.629997,112.010002,102.916725,283252500
2015-01-12,112.599998,112.800003,105.199997,105.989998,97.385445,304226600
2015-01-19,107.839996,113.750000,106.500000,112.980003,103.807991,198737000
2015-01-26,113.739998,120.000000,109.029999,117.160004,107.648643,465842700
2015-02-02,118.050003,120.510002,116.080002,118.930000,109.274948,270757300
2015-02-09,118.550003,127.480003,118.430000,127.080002,117.224121,303206800
2015-02-16,127.489998,129.500000,126.919998,129.500000,119.456444,194354900
2015-02-23,130.020004,133.600006,126.610001,128.460007,118.497116,368216200
2015-03-02,129.250000,130.279999,125.760002,126.599998,116.781349,246938500
2015-03-09,127.959999,129.570007,121.629997,123.589996,114.004791,326514100
2015-03-16,123.879997,129.250000,122.870003,125.900002,116.135651,266672900
2015-03-23,127.120003,128.039993,122.599998,123.250000,113.691170,209326300
2015-03-30,124.050003,126.489998,123.099998,125.320000,115.600616,162031800
2015-04-06,124.470001,128.119995,124.330002,127.099998,117.242592,182207500
2015-04-13,128.369995,128.570007,124.459999,124.750000,115.074821,171186100
2015-04-20,125.570000,130.630005,125.169998,130.279999,120.175949,207440700
2015-04-27,132.309998,134.539993,124.580002,128.949997,118.949089,420972300
2015-05-04,129.500000,130.570007,123.360001,127.620003,117.722237,271892000
2015-05-11,127.389999,129.490005,124.820000,128.770004,119.279213,208301500
2015-05-18,128.380005,132.970001,128.360001,132.539993,122.771370,217297400
2015-05-25,132.600006,132.910004,129.119995,130.279999,120.677933,198148600
2015-06-01,130.279999,131.389999,128.360001,128.649994,119.168053,170840800
2015-06-08,128.899994,130.179993,125.620003,127.169998,117.797150,220114600
2015-06-15,126.099998,128.309998,125.709999,126.599998,117.269157,198525200
2015-06-22,127.489998,129.800003,126.510002,126.750000,117.408104,195594000
2015-06-29,125.459999,126.940002,124.480003,126.440002,117.120941,150981900
2015-07-06,124.940002,126.230003,119.220001,123.279999,114.193848,275718300
2015-07-13,125.029999,129.619995,124.320000,129.619995,120.066551,189244900
